,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2018-08-12,16:00,Premier League,Matchweek 1,Sun,Away,W,2,0,Arsenal,1.8,0.6,57.0,59934,Fernandinho,4-2-3-1,Michael Oliver,Match Report,,17.0,7.0,17.8,1.0,0,0,2022,ManchesterCity
2,2018-08-19,13:30,Premier League,Matchweek 2,Sun,Home,W,6,1,Huddersfield,3.4,0.6,77.0,54021,Vincent Kompany,3-5-2,Andre Marriner,Match Report,,32.0,14.0,18.0,1.0,0,0,2022,ManchesterCity
3,2018-08-25,12:30,Premier League,Matchweek 3,Sat,Away,D,1,1,Wolves,1.5,1.1,71.0,31322,Vincent Kompany,4-3-3,Martin Atkinson,Match Report,,18.0,6.0,18.0,1.0,0,0,2022,ManchesterCity
4,2018-09-01,17:30,Premier League,Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2.6,0.7,78.0,53946,David Silva,4-4-2◆,Kevin Friend,Match Report,,24.0,8.0,17.4,3.0,0,0,2022,ManchesterCity
5,2018-09-15,15:00,Premier League,Matchweek 5,Sat,Home,W,3,0,Fulham,4.1,0.3,64.0,53307,David Silva,4-3-3,Stuart Attwell,Match Report,,28.0,9.0,15.9,1.0,0,0,2022,ManchesterCity
7,2018-09-22,15:00,Premier League,Matchweek 6,Sat,Away,W,5,0,Cardiff City,2.5,0.1,78.0,32321,Fernandinho,4-3-3,Michael Oliver,Match Report,,21.0,10.0,13.3,1.0,0,0,2022,ManchesterCity
9,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,3.0,0.5,79.0,54152,David Silva,4-3-3,Lee Mason,Match Report,,26.0,8.0,16.1,0.0,0,0,2022,ManchesterCity
11,2018-10-07,16:30,Premier League,Matchweek 8,Sun,Away,D,0,0,Liverpool,1.2,0.4,51.0,52117,David Silva,4-2-3-1,Martin Atkinson,Match Report,,5.0,2.0,19.7,0.0,0,1,2022,ManchesterCity
12,2018-10-20,15:00,Premier League,Matchweek 9,Sat,Home,W,5,0,Burnley,4.1,0.4,69.0,54094,Vincent Kompany,4-3-3,Jonathan Moss,Match Report,,24.0,10.0,12.4,0.0,0,0,2022,ManchesterCity
14,2018-10-29,20:00,Premier League,Matchweek 10,Mon,Away,W,1,0,Tottenham,1.5,0.7,51.0,56854,David Silva,4-3-3,Kevin Friend,Match Report,,13.0,5.0,14.2,1.0,0,0,2022,ManchesterCity
16,2018-11-04,15:00,Premier League,Matchweek 11,Sun,Home,W,6,1,Southampton,2.4,1.8,67.0,53916,David Silva,4-3-3,Lee Mason,Match Report,,18.0,8.0,15.5,1.0,0,0,2022,ManchesterCity
18,2018-11-11,16:30,Premier League,Matchweek 12,Sun,Home,W,3,1,Manchester Utd,1.6,0.9,64.0,54316,David Silva,4-3-3,Anthony Taylor,Match Report,,17.0,5.0,18.0,0.0,0,0,2022,ManchesterCity
19,2018-11-24,15:00,Premier League,Matchweek 13,Sat,Away,W,4,0,West Ham,2.3,0.8,69.0,56886,David Silva,4-3-3,Andre Marriner,Match Report,,9.0,6.0,9.7,0.0,0,0,2022,ManchesterCity
21,2018-12-01,15:00,Premier League,Matchweek 14,Sat,Home,W,3,1,Bournemouth,2.5,0.4,71.0,54409,Fernandinho,4-3-3,Stuart Attwell,Match Report,,18.0,7.0,14.6,0.0,0,0,2022,ManchesterCity
22,2018-12-04,20:00,Premier League,Matchweek 15,Tue,Away,W,2,1,Watford,2.2,1.4,69.0,20389,Vincent Kompany,4-3-3,Paul Tierney,Match Report,,15.0,7.0,14.0,0.0,0,0,2022,ManchesterCity
23,2018-12-08,17:30,Premier League,Matchweek 16,Sat,Away,L,0,2,Chelsea,1.4,0.9,61.0,40571,David Silva,4-3-3,Michael Oliver,Match Report,,15.0,5.0,19.1,1.0,0,0,2022,ManchesterCity
25,2018-12-15,12:30,Premier League,Matchweek 17,Sat,Home,W,3,1,Everton,1.4,1.1,66.0,54173,Fernandinho,4-3-3,Craig Pawson,Match Report,,13.0,5.0,16.0,0.0,0,0,2022,ManchesterCity
27,2018-12-22,15:00,Premier League,Matchweek 18,Sat,Home,L,2,3,Crystal Palace,1.4,0.9,77.0,54340,Fabian Delph,4-3-3,Andre Marriner,Match Report,,19.0,5.0,17.9,1.0,0,0,2022,ManchesterCity
28,2018-12-26,15:00,Premier League,Matchweek 19,Wed,Away,L,1,2,Leicester City,1.3,1.3,65.0,32090,Sergio Agüero,4-3-3,Mike Dean,Match Report,,11.0,4.0,18.4,0.0,0,0,2022,ManchesterCity
29,2018-12-30,14:15,Premier League,Matchweek 20,Sun,Away,W,3,1,Southampton,3.1,0.4,76.0,31381,Vincent Kompany,4-3-3,Paul Tierney,Match Report,,14.0,6.0,11.6,0.0,0,0,2022,ManchesterCity
30,2019-01-03,20:00,Premier League,Matchweek 21,Thu,Home,W,2,1,Liverpool,0.8,1.8,50.0,54511,Vincent Kompany,4-3-3,Anthony Taylor,Match Report,,9.0,5.0,20.9,0.0,0,0,2022,ManchesterCity
33,2019-01-14,20:00,Premier League,Matchweek 22,Mon,Home,W,3,0,Wolves,3.0,0.0,75.0,54171,David Silva,4-3-3,Craig Pawson,Match Report,,23.0,8.0,19.5,0.0,1,1,2022,ManchesterCity
