,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2019-08-09,20:00,Premier League,Matchweek 1,Fri,Home,W,4,1,Norwich City,1.7,1.0,57.0,53333.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,15.0,7.0,17.0,1.0,0,0,2022,Liverpool
3,2019-08-17,15:00,Premier League,Matchweek 2,Sat,Away,W,2,1,Southampton,1.4,1.6,63.0,31712.0,James Milner,4-3-3,Andre Marriner,Match Report,,15.0,5.0,18.7,1.0,0,0,2022,Liverpool
4,2019-08-24,17:30,Premier League,Matchweek 3,Sat,Home,W,3,1,Arsenal,2.5,0.9,52.0,53298.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,24.0,4.0,18.5,0.0,1,1,2022,Liverpool
5,2019-08-31,17:30,Premier League,Matchweek 4,Sat,Away,W,3,0,Burnley,1.1,0.4,63.0,21762.0,Jordan Henderson,4-3-3,Chris Kavanagh,Match Report,,15.0,6.0,20.6,0.0,0,0,2022,Liverpool
6,2019-09-14,12:30,Premier League,Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,2.7,0.4,73.0,51430.0,Virgil van Dijk,4-3-3,Andre Marriner,Match Report,,20.0,8.0,13.7,0.0,0,0,2022,Liverpool
8,2019-09-22,16:30,Premier League,Matchweek 6,Sun,Away,W,2,1,Chelsea,0.9,1.2,45.0,40638.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,6.0,3.0,12.7,0.0,0,0,2022,Liverpool
10,2019-09-28,12:30,Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.9,1.3,70.0,31774.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,16.0,4.0,18.3,0.0,0,0,2022,Liverpool
12,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Leicester City,2.8,0.1,53.0,53322.0,James Milner,4-3-3,Chris Kavanagh,Match Report,,17.0,7.0,15.1,1.0,1,1,2022,Liverpool
13,2019-10-20,16:30,Premier League,Matchweek 9,Sun,Away,D,1,1,Manchester Utd,1.1,0.7,66.0,73737.0,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,,10.0,4.0,18.0,0.0,0,0,2022,Liverpool
15,2019-10-27,16:30,Premier League,Matchweek 10,Sun,Home,W,2,1,Tottenham,2.5,1.4,66.0,53222.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,20.0,12.0,15.2,1.0,1,1,2022,Liverpool
17,2019-11-02,15:00,Premier League,Matchweek 11,Sat,Away,W,2,1,Aston Villa,2.6,0.7,72.0,41878.0,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,,25.0,6.0,13.6,1.0,0,0,2022,Liverpool
19,2019-11-10,16:30,Premier League,Matchweek 12,Sun,Home,W,3,1,Manchester City,1.0,1.3,45.0,53324.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,12.0,5.0,15.0,0.0,0,0,2022,Liverpool
20,2019-11-23,15:00,Premier League,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,1.4,1.0,59.0,25486.0,Jordan Henderson,4-3-3,Kevin Friend,Match Report,,11.0,4.0,12.8,0.0,0,0,2022,Liverpool
22,2019-11-30,15:00,Premier League,Matchweek 14,Sat,Home,W,2,1,Brighton,1.9,1.0,43.0,53319.0,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,,15.0,7.0,14.9,0.0,0,0,2022,Liverpool
